SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
21304135926,0,0,4,0,4,0,0,0,0,8,130,25,80,112,26,19,9,0,0,401
21304135927,0,0,3,8,0,0,0,0,0,11,109,28,95,83,19,14,4,4,0,356
21304135928,12,0,14,7,0,0,0,0,0,33,107,30,122,72,21,13,6,3,0,374
21304135929,5,0,7,0,0,0,0,0,0,12,101,20,74,81,16,4,10,0,0,306
21304135930,3,3,8,8,5,0,0,0,0,27,88,41,110,66,28,13,3,0,0,349
21304135931,10,3,4,6,0,6,0,3,0,32,123,22,81,88,22,12,3,3,0,354
21304135932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21304135933,12,7,17,12,4,4,0,0,0,56,157,44,178,126,33,11,11,0,0,560
21304135934,4,0,3,9,0,0,0,0,0,16,127,36,69,106,25,8,4,0,0,375
21304135935,14,4,11,10,0,0,0,0,0,39,143,56,132,114,29,17,10,0,0,501
21304135936,4,0,0,4,0,4,0,0,0,12,112,49,76,80,39,18,0,0,0,374
21304135937,3,0,0,4,0,0,0,0,0,7,121,36,71,77,37,13,12,3,3,373
21304135938,0,0,0,0,0,3,0,0,0,3,22,23,14,4,27,15,14,11,3,133
21304135939,4,7,3,4,3,0,0,0,0,21,62,40,89,40,25,18,8,4,0,286
21304135940,0,3,4,3,0,0,0,0,0,10,154,64,171,110,41,15,12,0,0,567
21304135941,0,0,0,0,0,0,0,0,0,0,14,7,12,10,5,14,5,5,0,72
21304135942,8,0,4,10,4,0,0,0,0,26,87,25,67,73,27,9,8,0,0,296
21304135943,9,3,0,0,0,0,0,0,0,12,121,24,75,95,25,10,5,0,0,355
21304135944,3,0,5,3,0,0,0,0,0,11,41,12,36,34,12,3,0,0,0,138
21304135945,0,0,0,0,0,0,0,0,0,0,10,5,35,11,0,0,0,0,0,61
21304135946,6,0,11,3,3,0,0,0,0,23,99,19,91,57,13,0,0,0,0,279
21304135947,9,0,11,8,6,4,0,0,0,38,125,30,89,82,31,8,3,0,0,368
21304135948,5,3,3,5,6,8,7,0,3,40,60,44,38,38,41,41,50,20,5,337
21304135949,10,7,10,4,0,0,0,4,0,35,182,76,171,152,51,21,27,8,0,688
21304135950,4,0,0,7,0,0,0,0,0,11,61,39,112,48,20,9,3,0,0,292
21304135951,12,6,6,7,0,3,0,0,0,34,141,51,107,101,33,16,16,3,0,468
21304136001,3,7,0,3,11,0,0,0,0,24,93,76,55,84,66,46,26,9,0,455
